,id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,ts20945,The Three Stooges,SHOW,1934,19,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",26.0,8.6,1092.0,15.424,7.6
1,tm19248,The General,MOVIE,1926,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",0.0,8.2,89766.0,8.647,8.0
2,tm82253,The Best Years of Our Lives,MOVIE,1946,171,"['romance', 'war', 'drama']",0.0,8.1,63026.0,8.435,7.8
3,tm83884,His Girl Friday,MOVIE,1940,92,"['comedy', 'drama', 'romance']",0.0,7.8,57835.0,11.27,7.4
4,tm56584,In a Lonely Place,MOVIE,1950,94,"['thriller', 'drama', 'romance']",0.0,7.9,30924.0,8.273,7.6
5,tm160494,Stagecoach,MOVIE,1939,96,"['western', 'drama']",0.0,7.8,48149.0,11.786,7.7
6,tm87233,It's a Wonderful Life,MOVIE,1946,130,"['drama', 'family', 'fantasy', 'romance', 'comedy']",0.0,8.6,444243.0,26.495,8.3
7,tm19424,Detour,MOVIE,1945,66,"['thriller', 'drama', 'crime']",0.0,7.3,17233.0,7.757,7.2
8,tm116781,My Man Godfrey,MOVIE,1936,95,"['comedy', 'romance', 'drama']",0.0,8.0,23532.0,8.633,7.6
9,tm112005,Marihuana,MOVIE,1936,57,"['crime', 'drama']",0.0,4.0,864.0,3.748,3.6
10,tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,197,"['history', 'drama']",0.0,7.7,15242.0,9.412,7.2
11,tm88001,The Stranger,MOVIE,1946,95,"['thriller', 'crime', 'drama']",0.0,7.3,26293.0,7.566,7.3
12,tm141715,The Phantom of the Opera,MOVIE,1925,101,['horror'],0.0,7.5,18190.0,7.428,7.2
13,tm112415,Tell Your Children,MOVIE,1938,66,"['drama', 'crime']",0.0,3.7,8617.0,5.412,4.1
14,tm2838,The Most Dangerous Game,MOVIE,1932,63,"['thriller', 'horror', 'action']",0.0,7.1,12203.0,8.828,7.0
15,tm155610,Wuthering Heights,MOVIE,1939,104,"['drama', 'romance']",0.0,7.5,17956.0,12.336,7.3
16,tm3781,The Woman in the Window,MOVIE,1944,99,"['drama', 'thriller', 'crime']",0.0,7.6,15909.0,6.018,7.5
17,tm3541,"Steamboat Bill, Jr.",MOVIE,1928,70,"['drama', 'romance', 'family', 'action', 'comedy']",0.0,7.8,14499.0,7.754,7.7
18,tm82560,The Little Foxes,MOVIE,1941,115,"['romance', 'drama']",0.0,7.9,11775.0,5.906,7.5
19,tm64852,Stella Dallas,MOVIE,1937,106,"['drama', 'romance']",0.0,7.4,5440.0,5.377,6.9
20,tm120863,Dodsworth,MOVIE,1936,101,"['romance', 'drama']",0.0,7.8,9063.0,6.1,7.2
21,tm66903,Sands of Iwo Jima,MOVIE,1950,100,"['drama', 'war', 'action', 'romance']",0.0,7.0,10399.0,7.629,6.5
22,tm74259,The Pride of the Yankees,MOVIE,1942,128,"['drama', 'romance', 'sport']",0.0,7.6,10866.0,6.602,7.4
23,tm112424,Things to Come,MOVIE,1936,89,"['scifi', 'drama', 'war']",0.0,6.6,7965.0,11.526,6.5
24,tm58979,Cyrano de Bergerac,MOVIE,1950,112,"['drama', 'romance']",0.0,7.4,4085.0,5.626,7.1
25,tm18385,Scarlet Street,MOVIE,1945,103,"['thriller', 'drama']",0.0,7.8,16405.0,8.003,7.7
26,tm162994,Made for Each Other,MOVIE,1939,92,"['comedy', 'drama', 'romance']",0.0,6.3,3582.0,6.242,6.1
27,tm2721,The Thief of Bagdad,MOVIE,1924,149,"['romance', 'family', 'fantasy']",0.0,7.7,6134.0,7.166,7.4
