,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,tm74391,Fantasia,MOVIE,1940,G,120,"['animation', 'family', 'music', 'fantasy']",0.0,7.7,94681.0,57.751000000000005,7.4
1,tm67803,Snow White and the Seven Dwarfs,MOVIE,1937,G,83,"['fantasy', 'family', 'romance', 'animation', 'thriller', 'drama']",0.0,7.6,195321.0,107.137,7.1
2,tm82546,Pinocchio,MOVIE,1940,G,88,"['animation', 'comedy', 'family', 'fantasy']",0.0,7.5,141937.0,71.16,7.1
3,tm79357,Bambi,MOVIE,1942,G,70,"['animation', 'drama', 'family']",0.0,7.3,140406.0,68.13600000000001,7.0
4,tm62671,Treasure Island,MOVIE,1950,PG,96,"['family', 'action']",0.0,6.9,8229.0,10.698,6.5
5,tm61729,The Adventures of Ichabod and Mr. Toad,MOVIE,1949,G,68,"['fantasy', 'horror', 'animation', 'comedy', 'family']",0.0,6.9,15405.0,10.862,6.5
6,tm61052,Cinderella,MOVIE,1950,G,74,"['fantasy', 'animation', 'family', 'romance']",0.0,7.3,157099.0,144.284,7.0
7,tm87946,Dumbo,MOVIE,1941,G,63,"['animation', 'drama', 'family', 'fantasy']",0.0,7.2,129548.0,69.875,7.0
8,tm4623,The Three Caballeros,MOVIE,1944,G,71,"['animation', 'comedy', 'family', 'fantasy']",0.0,6.3,13889.0,11.75,6.4
9,tm77826,The Reluctant Dragon,MOVIE,1941,G,74,"['fantasy', 'animation', 'family', 'comedy']",0.0,6.8,3280.0,6.957999999999999,6.6
10,tm89831,Fun and Fancy Free,MOVIE,1947,G,73,"['animation', 'family', 'fantasy', 'romance', 'comedy']",0.0,6.4,8228.0,10.058,6.3
11,tm3616,Steamboat Willie,MOVIE,1928,G,8,['animation'],0.0,,,10.513,7.4
12,tm77407,Saludos Amigos,MOVIE,1942,,42,"['animation', 'fantasy', 'comedy', 'family']",0.0,6.1,6506.0,20.418,5.8
13,tm71205,How to Play Baseball,MOVIE,1942,,8,"['comedy', 'animation']",0.0,,,4.178999999999999,6.6
14,tm5822,Melody Time,MOVIE,1948,,75,"['comedy', 'music', 'family', 'animation']",0.0,6.2,5993.0,8.856,6.2
15,tm8579,Ferdinand the Bull,MOVIE,1938,G,8,['comedy'],0.0,,,10.982999999999999,6.5
16,tm134279,Three Little Pigs,MOVIE,1933,,8,['comedy'],0.0,,,8.883,6.8
