,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,tm19248,The General,MOVIE,1926,,78,"['action', 'drama', 'war', 'western', 'comedy', 'european']",0.0,8.2,89766.0,8.647,8.0
1,tm83884,His Girl Friday,MOVIE,1940,,92,"['comedy', 'drama', 'romance']",0.0,7.8,57835.0,11.27,7.4
2,tm19424,Detour,MOVIE,1945,,66,"['thriller', 'drama', 'crime']",0.0,7.3,17233.0,7.757000000000001,7.2
3,tm112005,Marihuana,MOVIE,1936,,57,"['crime', 'drama']",0.0,4.0,864.0,3.748,3.6
4,tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,,197,"['history', 'drama']",0.0,7.7,15242.0,9.412,7.2
5,tm88001,The Stranger,MOVIE,1946,,95,"['thriller', 'crime', 'drama']",0.0,7.3,26293.0,7.566,7.3
6,tm141715,The Phantom of the Opera,MOVIE,1925,,101,['horror'],0.0,7.5,18190.0,7.428,7.2
7,tm2838,The Most Dangerous Game,MOVIE,1932,,63,"['thriller', 'horror', 'action']",0.0,7.1,12203.0,8.828,7.0
8,tm3541,"Steamboat Bill, Jr.",MOVIE,1928,,70,"['drama', 'romance', 'family', 'action', 'comedy']",0.0,7.8,14499.0,7.754,7.7
9,tm122846,The Kid,MOVIE,1921,,53,"['drama', 'comedy', 'family']",0.0,8.3,124364.0,12.692,8.2
10,tm58979,Cyrano de Bergerac,MOVIE,1950,,112,"['drama', 'romance']",0.0,7.4,4085.0,5.626,7.1
11,tm18385,Scarlet Street,MOVIE,1945,,103,"['thriller', 'drama']",0.0,7.8,16405.0,8.003,7.7
12,tm162994,Made for Each Other,MOVIE,1939,,92,"['comedy', 'drama', 'romance']",0.0,6.3,3582.0,6.242000000000001,6.1
13,tm2721,The Thief of Bagdad,MOVIE,1924,,149,"['romance', 'family', 'fantasy']",0.0,7.7,6134.0,7.166,7.4
14,tm59314,D.O.A.,MOVIE,1950,,83,"['crime', 'comedy', 'thriller', 'drama']",0.0,7.2,11816.0,7.932,6.9
15,tm74188,Jungle Book,MOVIE,1942,,106,"['fantasy', 'family', 'action']",0.0,6.7,4195.0,6.515,6.3
16,tm159958,Love Affair,MOVIE,1939,,88,"['romance', 'drama', 'comedy']",0.0,7.3,5421.0,4.0280000000000005,7.3
17,tm100997,Of Human Bondage,MOVIE,1934,,83,"['drama', 'romance']",0.0,7.0,7332.0,5.776,6.6
18,tm70212,Our Town,MOVIE,1940,,90,"['romance', 'drama', 'family']",0.0,6.5,2607.0,2.847,5.6
19,tm159975,The Little Princess,MOVIE,1939,G,93,"['comedy', 'drama', 'family']",0.0,7.1,6122.0,6.148,6.8
20,tm56594,The Jackie Robinson Story,MOVIE,1950,,76,"['drama', 'sport']",0.0,6.3,1272.0,1.9569999999999999,6.4
21,tm87972,The Strange Love of Martha Ivers,MOVIE,1946,,115,"['thriller', 'romance', 'drama']",0.0,7.4,9729.0,9.703,7.2
22,tm140201,Lady Windermere's Fan,MOVIE,1925,,120,['comedy'],0.0,7.2,1157.0,2.313,6.9
23,tm84154,Meet John Doe,MOVIE,1941,,122,"['romance', 'comedy', 'drama']",0.0,7.6,13443.0,8.574,7.4
24,tm119274,The Outlaw,MOVIE,1943,,116,['western'],0.0,,,7.502999999999999,5.6
25,tm52327,The Front Page,MOVIE,1931,,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",0.0,6.2,17.0,5.403,6.6
26,tm5661,White Zombie,MOVIE,1932,,67,['horror'],0.0,6.3,10410.0,6.822,5.9
27,tm6408,Bird of Paradise,MOVIE,1932,,80,"['romance', 'drama']",0.0,6.0,1298.0,3.1639999999999997,5.0
28,tm140761,The Lost World,MOVIE,1925,,93,"['fantasy', 'thriller', 'scifi']",0.0,7.0,5185.0,8.026,6.7
29,tm138416,The Private Life of Henry VIII,MOVIE,1933,,90,"['history', 'comedy', 'drama', 'romance']",0.0,7.0,4297.0,5.268,6.4
30,tm17109,The Southerner,MOVIE,1945,,92,['drama'],0.0,7.1,3443.0,3.753,6.3
31,tm52,A Farewell to Arms,MOVIE,1932,PG,89,"['drama', 'romance', 'war']",0.0,6.4,5970.0,7.581,6.3
32,tm97774,The Scarlet Letter,MOVIE,1934,G,69,"['drama', 'history', 'romance']",0.0,5.3,367.0,1.666,4.0
33,tm60168,The Big Lift,MOVIE,1950,,120,"['drama', 'war']",0.0,6.5,1550.0,2.667,6.7
